Method,Metric,Seed,Split,Task,Metric Name
DSD-min,0.008744855967078188,3,random,indication,Recall@100
DSD-min,0.5061458393132635,3,random,indication,Avg Rank
DSD-min,0.0001234567901234568,3,random,indication,Precision@100
DSD-min,0.00030864197530864197,3,random,indication,Precision@10
DSD-min,0.0,3,random,indication,Precision@K
KL-min,0.49275161291761255,3,random,indication,AUPRC
KL-min,0.4934829356113129,3,random,indication,AUROC
KL-min,0.010288065843621397,3,random,indication,Recall@100
KL-min,0.4949789144429084,3,random,indication,Avg Rank
KL-min,0.00018518518518518518,3,random,indication,Precision@100
KL-min,0.00030864197530864197,3,random,indication,Precision@10
KL-min,0.0,3,random,indication,Precision@K
JS-min,0.5083916798620067,3,random,indication,AUPRC
JS-min,0.49650619882615554,3,random,indication,AUROC
JS-min,0.010288065843621397,3,random,indication,Recall@100
JS-min,0.5040971023003789,3,random,indication,Avg Rank
JS-min,0.00015432098765432098,3,random,indication,Precision@100
JS-min,0.0,3,random,indication,Precision@10
JS-min,0.0,3,random,indication,Precision@K
HGT,0.8828198420791871,3,random,indication,AUPRC
HGT,0.8986320302235395,3,random,indication,AUROC
HGT,0.5521604938271605,3,random,indication,Recall@100
HGT,0.901066693482613,3,random,indication,Avg Rank
HGT,0.007962962962962963,3,random,indication,Precision@100
HGT,0.012654320987654323,3,random,indication,Precision@10
HGT,0.004886831275720164,3,random,indication,Precision@K
HAN,0.9546449523464142,3,random,indication,AUPRC
HAN,0.9615613676970008,3,random,indication,AUROC
HAN,0.7362911522633745,3,random,indication,Recall@100
HAN,0.9236781348151666,3,random,indication,Avg Rank
HAN,0.010802469135802469,3,random,indication,Precision@100
HAN,0.030864197530864196,3,random,indication,Precision@10
HAN,0.035493827160493825,3,random,indication,Precision@K
RGCN,0.8379664806970958,3,random,indication,AUPRC
RGCN,0.8405990152799814,3,random,indication,AUROC
RGCN,0.3205761316872428,3,random,indication,Recall@100
RGCN,0.7553126637207913,3,random,indication,Avg Rank
RGCN,0.0044444444444444444,3,random,indication,Precision@100
RGCN,0.006481481481481482,3,random,indication,Precision@10
RGCN,0.0010288065843621398,3,random,indication,Precision@K
BioBERT,0.7885485023341541,3,random,indication,AUPRC
BioBERT,0.8014102499988635,3,random,indication,AUROC
BioBERT,0.08955761316872428,3,random,indication,Recall@100
BioBERT,0.7720313266885642,3,random,indication,Avg Rank
BioBERT,0.0014197530864197532,3,random,indication,Precision@100
BioBERT,0.0009259259259259261,3,random,indication,Precision@10
BioBERT,0.0,3,random,indication,Precision@K
TxGNN,0.9030758138931233,3,random,indication,AUPRC
TxGNN,0.9119571196712143,3,random,indication,AUROC
TxGNN,0.4324331275720165,3,random,indication,Recall@100
TxGNN,0.8247341581628825,3,random,indication,Avg Rank
TxGNN,0.0062037037037037035,3,random,indication,Precision@100
TxGNN,0.016358024691358025,3,random,indication,Precision@10
TxGNN,0.02271090534979424,3,random,indication,Precision@K
Proximity,0.5482826343214612,3,random,indication,AUPRC
Proximity,0.6037547565250203,3,random,indication,AUROC
Proximity,0.011831275720164609,3,random,indication,Recall@100
Proximity,0.5651704752033953,3,random,indication,Avg Rank
Proximity,0.00015432098765432098,3,random,indication,Precision@100
Proximity,0.0,3,random,indication,Precision@10
Proximity,0.0,3,random,indication,Precision@K
DSD-min,0.5008787889552264,4,random,indication,AUPRC
DSD-min,0.4927191638517737,4,random,indication,AUROC
DSD-min,0.024999999999999998,4,random,indication,Recall@100
DSD-min,0.48489287735743625,4,random,indication,Avg Rank
DSD-min,0.00041533546325878595,4,random,indication,Precision@100
DSD-min,0.0003194888178913738,4,random,indication,Precision@10
DSD-min,0.0007987220447284345,4,random,indication,Precision@K
KL-min,0.4811391032260538,4,random,indication,AUPRC
KL-min,0.49110978764417323,4,random,indication,AUROC
KL-min,0.001597444089456869,4,random,indication,Recall@100
KL-min,0.48405006850586546,4,random,indication,Avg Rank
KL-min,3.194888178913738e-05,4,random,indication,Precision@100
KL-min,0.0,4,random,indication,Precision@10
KL-min,0.0,4,random,indication,Precision@K
JS-min,0.4946858407636824,4,random,indication,AUPRC
JS-min,0.48707725460422535,4,random,indication,AUROC
JS-min,0.012779552715654952,4,random,indication,Recall@100
JS-min,0.4805729959876187,4,random,indication,Avg Rank
JS-min,0.00012779552715654952,4,random,indication,Precision@100
JS-min,0.0,4,random,indication,Precision@10
JS-min,0.0,4,random,indication,Precision@K
HGT,0.8717219042131868,4,random,indication,AUPRC
HGT,0.8444997067661995,4,random,indication,AUROC
HGT,0.4265708200212992,4,random,indication,Recall@100
HGT,0.8230925228695292,4,random,indication,Avg Rank
HGT,0.006389776357827476,4,random,indication,Precision@100
HGT,0.00830670926517572,4,random,indication,Precision@10
HGT,0.011980830670926517,4,random,indication,Precision@K
HAN,0.9611734584048359,4,random,indication,AUPRC
HAN,0.9673578498006465,4,random,indication,AUROC
HAN,0.6941427050053247,4,random,indication,Recall@100
HAN,0.8775742465860495,4,random,indication,Avg Rank
HAN,0.010702875399361022,4,random,indication,Precision@100
HAN,0.0329073482428115,4,random,indication,Precision@10
HAN,0.027795527156549517,4,random,indication,Precision@K
RGCN,0.8234985317923321,4,random,indication,AUPRC
RGCN,0.8436177322343507,4,random,indication,AUROC
RGCN,0.30279552715654956,4,random,indication,Recall@100
RGCN,0.7327249179997438,4,random,indication,Avg Rank
RGCN,0.00428115015974441,4,random,indication,Precision@100
RGCN,0.004153354632587859,4,random,indication,Precision@10
RGCN,0.002662406815761448,4,random,indication,Precision@K
BioBERT,0.833600956938995,4,random,indication,AUPRC
BioBERT,0.8501188847113806,4,random,indication,AUROC
BioBERT,0.13434504792332266,4,random,indication,Recall@100
BioBERT,0.8198334618863934,4,random,indication,Avg Rank
BioBERT,0.0022044728434504795,4,random,indication,Precision@100
BioBERT,0.003194888178913738,4,random,indication,Precision@10
BioBERT,0.005591054313099041,4,random,indication,Precision@K
TxGNN,0.9138198780881726,4,random,indication,AUPRC
TxGNN,0.9227863121189666,4,random,indication,AUROC
TxGNN,0.41842385516506925,4,random,indication,Recall@100
TxGNN,0.8121647465349897,4,random,indication,Avg Rank
TxGNN,0.005846645367412141,4,random,indication,Precision@100
TxGNN,0.013418530351437703,4,random,indication,Precision@10
TxGNN,0.004925452609158679,4,random,indication,Precision@K
Proximity,0.5316576786655605,4,random,indication,AUPRC
Proximity,0.5069739635662686,4,random,indication,AUROC
Proximity,0.013045793397231099,4,random,indication,Recall@100
Proximity,0.5358007557394158,4,random,indication,Avg Rank
Proximity,0.00025559105431309905,4,random,indication,Precision@100
Proximity,0.0003194888178913738,4,random,indication,Precision@10
Proximity,0.0,4,random,indication,Precision@K
DSD-min,0.5240029947001621,5,random,indication,AUPRC
DSD-min,0.5257977550565782,5,random,indication,AUROC
DSD-min,0.010264227642276422,5,random,indication,Recall@100
DSD-min,0.5149984201158463,5,random,indication,Avg Rank
DSD-min,0.00021341463414634144,5,random,indication,Precision@100
DSD-min,0.0006097560975609756,5,random,indication,Precision@10
DSD-min,0.0,5,random,indication,Precision@K
KL-min,0.5264819649833908,5,random,indication,AUPRC
KL-min,0.5194966380403798,5,random,indication,AUROC
KL-min,0.016260162601626018,5,random,indication,Recall@100
KL-min,0.4982336460916451,5,random,indication,Avg Rank
KL-min,0.0002134146341463415,5,random,indication,Precision@100
KL-min,0.0,5,random,indication,Precision@10
KL-min,0.0,5,random,indication,Precision@K
JS-min,0.48901436290366734,5,random,indication,AUPRC
JS-min,0.4986202099463087,5,random,indication,AUROC
JS-min,0.01524390243902439,5,random,indication,Recall@100
JS-min,0.5104784379658551,5,random,indication,Avg Rank
JS-min,0.0001524390243902439,5,random,indication,Precision@100
JS-min,0.0,5,random,indication,Precision@10
JS-min,0.0,5,random,indication,Precision@K
HGT,0.5,5,random,indication,AUPRC
HGT,0.5,5,random,indication,AUROC
HGT,0.0,5,random,indication,Recall@100
HGT,0.5770591497387891,5,random,indication,Avg Rank
HGT,0.0,5,random,indication,Precision@100
HGT,0.0,5,random,indication,Precision@10
HGT,0.0,5,random,indication,Precision@K
HAN,0.9325871223836315,5,random,indication,AUPRC
HAN,0.9419988088797558,5,random,indication,AUROC
HAN,0.7029979674796747,5,random,indication,Recall@100
HAN,0.8834267534032008,5,random,indication,Avg Rank
HAN,0.010304878048780488,5,random,indication,Precision@100
HAN,0.0350609756097561,5,random,indication,Precision@10
HAN,0.052286585365853656,5,random,indication,Precision@K
RGCN,0.8851539175592618,5,random,indication,AUPRC
RGCN,0.8924741204122548,5,random,indication,AUROC
RGCN,0.3228658536585366,5,random,indication,Recall@100
RGCN,0.7441433937086637,5,random,indication,Avg Rank
RGCN,0.004451219512195122,5,random,indication,Precision@100
RGCN,0.005182926829268293,5,random,indication,Precision@10
RGCN,0.0007621951219512195,5,random,indication,Precision@K
BioBERT,0.8255786577325802,5,random,indication,AUPRC
BioBERT,0.8382395060942622,5,random,indication,AUROC
BioBERT,0.15818089430894308,5,random,indication,Recall@100
BioBERT,0.8373966753209067,5,random,indication,Avg Rank
BioBERT,0.002378048780487805,5,random,indication,Precision@100
BioBERT,0.0036585365853658543,5,random,indication,Precision@10
BioBERT,0.005335365853658537,5,random,indication,Precision@K
TxGNN,0.937446306850991,5,random,indication,AUPRC
TxGNN,0.9356226785657458,5,random,indication,AUROC
TxGNN,0.411890243902439,5,random,indication,Recall@100
TxGNN,0.8131461368575605,5,random,indication,Avg Rank
TxGNN,0.00576219512195122,5,random,indication,Precision@100
TxGNN,0.01128048780487805,5,random,indication,Precision@10
TxGNN,0.011686991869918699,5,random,indication,Precision@K
Proximity,0.5146194612940653,5,random,indication,AUPRC
Proximity,0.5110746905133183,5,random,indication,AUROC
Proximity,0.01321138211382114,5,random,indication,Recall@100
Proximity,0.560524921299546,5,random,indication,Avg Rank
Proximity,0.0002134146341463415,5,random,indication,Precision@100
Proximity,0.0,5,random,indication,Precision@10
Proximity,0.0,5,random,indication,Precision@K
DSD-min,0.43667510909675805,1,complex_disease,indication,AUPRC
DSD-min,0.44288207126044965,1,complex_disease,indication,AUROC
DSD-min,0.00622476690206599,1,complex_disease,indication,Recall@100
DSD-min,0.4484251036507702,1,complex_disease,indication,Avg Rank
DSD-min,0.0008450704225352112,1,complex_disease,indication,Precision@100
DSD-min,0.0,1,complex_disease,indication,Precision@10
DSD-min,0.0,1,complex_disease,indication,Precision@K
KL-min,0.4557716012250957,1,complex_disease,indication,AUPRC
KL-min,0.42245962178394614,1,complex_disease,indication,AUROC
KL-min,0.00044014084507042255,1,complex_disease,indication,Recall@100
KL-min,0.4470095253587887,1,complex_disease,indication,Avg Rank
KL-min,0.00014084507042253522,1,complex_disease,indication,Precision@100
KL-min,0.0,1,complex_disease,indication,Precision@10
KL-min,0.0,1,complex_disease,indication,Precision@K
JS-min,0.4864110793115865,1,complex_disease,indication,AUPRC
JS-min,0.44771122473825176,1,complex_disease,indication,AUROC
JS-min,0.006975184439973172,1,complex_disease,indication,Recall@100
JS-min,0.456702448174648,1,complex_disease,indication,Avg Rank
JS-min,0.0005633802816901409,1,complex_disease,indication,Precision@100
JS-min,0.0,1,complex_disease,indication,Precision@10
JS-min,0.0,1,complex_disease,indication,Precision@K
HGT,0.49887514632953517,1,complex_disease,indication,AUPRC
HGT,0.49774774774774777,1,complex_disease,indication,AUROC
HGT,0.0013791079812206573,1,complex_disease,indication,Recall@100
HGT,0.5604286331396858,1,complex_disease,indication,Avg Rank
HGT,0.00028169014084507044,1,complex_disease,indication,Precision@100
HGT,0.0,1,complex_disease,indication,Precision@10
HGT,0.0,1,complex_disease,indication,Precision@K
HAN,0.6683490770338283,1,complex_disease,indication,AUPRC
HAN,0.6939118172226281,1,complex_disease,indication,AUROC
HAN,0.11577627529885193,1,complex_disease,indication,Recall@100
HAN,0.5407539080172797,1,complex_disease,indication,Avg Rank
HAN,0.009014084507042254,1,complex_disease,indication,Precision@100
HAN,0.009859154929577464,1,complex_disease,indication,Precision@10
HAN,0.0070491576912455126,1,complex_disease,indication,Precision@K
RGCN,0.5288886204983652,1,complex_disease,indication,AUPRC
RGCN,0.5701495414333252,1,complex_disease,indication,AUROC
RGCN,0.0689862660813365,1,complex_disease,indication,Recall@100
RGCN,0.7154960369326099,1,complex_disease,indication,Avg Rank
RGCN,0.0036619718309859155,1,complex_disease,indication,Precision@100
RGCN,0.0028169014084507044,1,complex_disease,indication,Precision@10
RGCN,0.0027875586854460093,1,complex_disease,indication,Precision@K
BioBERT,0.7524724238845409,1,complex_disease,indication,AUPRC
BioBERT,0.7556255579904229,1,complex_disease,indication,AUROC
BioBERT,0.08605785784224061,1,complex_disease,indication,Recall@100
BioBERT,0.7333101835782463,1,complex_disease,indication,Avg Rank
BioBERT,0.009577464788732393,1,complex_disease,indication,Precision@100
BioBERT,0.016901408450704227,1,complex_disease,indication,Precision@10
BioBERT,0.0144035110843313,1,complex_disease,indication,Precision@K
TxGNN,0.8931513622554441,1,complex_disease,indication,AUPRC
TxGNN,0.9179703352000649,1,complex_disease,indication,AUROC
TxGNN,0.3929863943016387,1,complex_disease,indication,Recall@100
TxGNN,0.7714861635115705,1,complex_disease,indication,Avg Rank
TxGNN,0.024929577464788733,1,complex_disease,indication,Precision@100
TxGNN,0.0619718309859155,1,complex_disease,indication,Precision@10
TxGNN,0.05654938992242224,1,complex_disease,indication,Precision@K
Proximity,0.5163750262632114,1,complex_disease,indication,AUPRC
Proximity,0.5505843681519358,1,complex_disease,indication,AUROC
Proximity,0.003755868544600939,1,complex_disease,indication,Recall@100
Proximity,0.5450308327022322,1,complex_disease,indication,Avg Rank
Proximity,0.00028169014084507044,1,complex_disease,indication,Precision@100
Proximity,0.0,1,complex_disease,indication,Precision@10
Proximity,0.0,1,complex_disease,indication,Precision@K
DSD-min,0.48414239337946047,2,complex_disease,indication,AUPRC
DSD-min,0.4858021640028561,2,complex_disease,indication,AUROC
DSD-min,0.012409754224270353,2,complex_disease,indication,Recall@100
DSD-min,0.5000746798752846,2,complex_disease,indication,Avg Rank
DSD-min,0.00078125,2,complex_disease,indication,Precision@100
DSD-min,0.0,2,complex_disease,indication,Precision@10
DSD-min,0.000625,2,complex_disease,indication,Precision@K
KL-min,0.5239522952023712,2,complex_disease,indication,AUPRC
KL-min,0.5227895079600468,2,complex_disease,indication,AUROC
KL-min,0.007952908986175115,2,complex_disease,indication,Recall@100
KL-min,0.48524448498515094,2,complex_disease,indication,Avg Rank
KL-min,0.00078125,2,complex_disease,indication,Precision@100
KL-min,0.0,2,complex_disease,indication,Precision@10
KL-min,0.00025201612903225806,2,complex_disease,indication,Precision@K
JS-min,0.5117578400369094,2,complex_disease,indication,AUPRC
JS-min,0.5211888677039443,2,complex_disease,indication,AUROC
JS-min,0.009106182795698924,2,complex_disease,indication,Recall@100
JS-min,0.518487962453063,2,complex_disease,indication,Avg Rank
JS-min,0.00078125,2,complex_disease,indication,Precision@100
JS-min,0.0,2,complex_disease,indication,Precision@10
JS-min,0.0,2,complex_disease,indication,Precision@K
HGT,0.6510627965041385,2,complex_disease,indication,AUPRC
HGT,0.6609349622201822,2,complex_disease,indication,AUROC
HGT,0.036523661150677275,2,complex_disease,indication,Recall@100
HGT,0.32459808331174855,2,complex_disease,indication,Avg Rank
HGT,0.003125,2,complex_disease,indication,Precision@100
HGT,0.0,2,complex_disease,indication,Precision@10
HGT,0.0009622434017595308,2,complex_disease,indication,Precision@K
HAN,0.6623775298052791,2,complex_disease,indication,AUPRC
HAN,0.6923553735219579,2,complex_disease,indication,AUROC
HAN,0.18803007756132756,2,complex_disease,indication,Recall@100
HAN,0.6095519771624168,2,complex_disease,indication,Avg Rank
HAN,0.005625,2,complex_disease,indication,Precision@100
HAN,0.0015625,2,complex_disease,indication,Precision@10
HAN,0.005208333333333333,2,complex_disease,indication,Precision@K
RGCN,0.5469579197328563,2,complex_disease,indication,AUPRC
RGCN,0.6198557854514355,2,complex_disease,indication,AUROC
RGCN,0.03504464285714286,2,complex_disease,indication,Recall@100
RGCN,0.49048548117521135,2,complex_disease,indication,Avg Rank
RGCN,0.0014062500000000002,2,complex_disease,indication,Precision@100
RGCN,0.0,2,complex_disease,indication,Precision@10
RGCN,0.0,2,complex_disease,indication,Precision@K
BioBERT,0.774753985970241,2,complex_disease,indication,AUPRC
BioBERT,0.8090844180809578,2,complex_disease,indication,AUROC
BioBERT,0.07783530873248615,2,complex_disease,indication,Recall@100
BioBERT,0.773829300734872,2,complex_disease,indication,Avg Rank
BioBERT,0.0064062500000000005,2,complex_disease,indication,Precision@100
BioBERT,0.00625,2,complex_disease,indication,Precision@10
BioBERT,0.005094289670902574,2,complex_disease,indication,Precision@K
TxGNN,0.8611018368502972,2,complex_disease,indication,AUPRC
TxGNN,0.8637651138886927,2,complex_disease,indication,AUROC
TxGNN,0.3506932197506794,2,complex_disease,indication,Recall@100
TxGNN,0.7575849090528782,2,complex_disease,indication,Avg Rank
TxGNN,0.015468750000000002,2,complex_disease,indication,Precision@100
TxGNN,0.0328125,2,complex_disease,indication,Precision@10
TxGNN,0.034446296870692034,2,complex_disease,indication,Precision@K
Proximity,0.48613198939683033,2,complex_disease,indication,AUPRC
Proximity,0.5063084057152273,2,complex_disease,indication,AUROC
Proximity,0.0,2,complex_disease,indication,Recall@100
Proximity,0.5582246388522106,2,complex_disease,indication,Avg Rank
Proximity,0.0,2,complex_disease,indication,Precision@100
Proximity,0.0,2,complex_disease,indication,Precision@10
Proximity,0.0,2,complex_disease,indication,Precision@K
DSD-min,0.5310430546728947,3,complex_disease,indication,AUPRC
DSD-min,0.5159992374831497,3,complex_disease,indication,AUROC
DSD-min,0.01105368166350662,3,complex_disease,indication,Recall@100
DSD-min,0.5086473031923853,3,complex_disease,indication,Avg Rank
DSD-min,0.0010606060606060607,3,complex_disease,indication,Precision@100
DSD-min,0.0015151515151515152,3,complex_disease,indication,Precision@10
DSD-min,0.0004591368227731864,3,complex_disease,indication,Precision@K
KL-min,0.4912421783882299,3,complex_disease,indication,AUPRC
KL-min,0.4784418785147261,3,complex_disease,indication,AUROC
KL-min,0.010916603664809408,3,complex_disease,indication,Recall@100
KL-min,0.49755092460970474,3,complex_disease,indication,Avg Rank
KL-min,0.0012121212121212121,3,complex_disease,indication,Precision@100
KL-min,0.0,3,complex_disease,indication,Precision@10
KL-min,0.0007215007215007215,3,complex_disease,indication,Precision@K
JS-min,0.5003743278982842,3,complex_disease,indication,AUPRC
JS-min,0.4821999972767256,3,complex_disease,indication,AUROC
JS-min,0.015994495824041277,3,complex_disease,indication,Recall@100
JS-min,0.46234490226153935,3,complex_disease,indication,Avg Rank
JS-min,0.0013636363636363635,3,complex_disease,indication,Precision@100
JS-min,0.0015151515151515152,3,complex_disease,indication,Precision@10
JS-min,0.0010822510822510823,3,complex_disease,indication,Precision@K
HGT,0.6559074161953189,3,complex_disease,indication,AUPRC
HGT,0.7006610748764315,3,complex_disease,indication,AUROC
HGT,0.10941031836753762,3,complex_disease,indication,Recall@100
HGT,0.5440061932713782,3,complex_disease,indication,Avg Rank
HGT,0.006212121212121212,3,complex_disease,indication,Precision@100
HGT,0.004545454545454546,3,complex_disease,indication,Precision@10
HGT,0.006132756132756133,3,complex_disease,indication,Precision@K
HAN,0.6161230182003704,3,complex_disease,indication,AUPRC
HAN,0.649735842376874,3,complex_disease,indication,AUROC
HAN,0.17575578912477308,3,complex_disease,indication,Recall@100
HAN,0.5386506154392283,3,complex_disease,indication,Avg Rank
HAN,0.00696969696969697,3,complex_disease,indication,Precision@100
HAN,0.0030303030303030303,3,complex_disease,indication,Precision@10
HAN,0.0024603115512206422,3,complex_disease,indication,Precision@K
RGCN,0.43699248200521096,3,complex_disease,indication,AUPRC
RGCN,0.43419377459457253,3,complex_disease,indication,AUROC
RGCN,0.05899689536053172,3,complex_disease,indication,Recall@100
RGCN,0.6729889998017257,3,complex_disease,indication,Avg Rank
RGCN,0.003636363636363636,3,complex_disease,indication,Precision@100
RGCN,0.004545454545454546,3,complex_disease,indication,Precision@10
RGCN,0.006736193099829463,3,complex_disease,indication,Precision@K
BioBERT,0.8170835292890638,3,complex_disease,indication,AUPRC
BioBERT,0.8438814830952737,3,complex_disease,indication,AUROC
BioBERT,0.05519469696443534,3,complex_disease,indication,Recall@100
BioBERT,0.7862933045260806,3,complex_disease,indication,Avg Rank
BioBERT,0.011363636363636364,3,complex_disease,indication,Precision@100
BioBERT,0.015151515151515152,3,complex_disease,indication,Precision@10
BioBERT,0.013244892770494877,3,complex_disease,indication,Precision@K
TxGNN,0.915864832478738,3,complex_disease,indication,AUPRC
TxGNN,0.9246725262455576,3,complex_disease,indication,AUROC
TxGNN,0.4415961597361644,3,complex_disease,indication,Recall@100
TxGNN,0.8114548527326536,3,complex_disease,indication,Avg Rank
TxGNN,0.03606060606060606,3,complex_disease,indication,Precision@100
TxGNN,0.11969696969696969,3,complex_disease,indication,Precision@10
TxGNN,0.095047996015603,3,complex_disease,indication,Precision@K
Proximity,0.5171205449496665,3,complex_disease,indication,AUPRC
Proximity,0.5299015536280824,3,complex_disease,indication,AUROC
Proximity,0.0038158330366122577,3,complex_disease,indication,Recall@100
Proximity,0.5380834396671204,3,complex_disease,indication,Avg Rank
Proximity,0.0013636363636363637,3,complex_disease,indication,Precision@100
Proximity,0.0015151515151515152,3,complex_disease,indication,Precision@10
Proximity,0.0009826152683295542,3,complex_disease,indication,Precision@K
DSD-min,0.4954836025021575,4,complex_disease,indication,AUPRC
DSD-min,0.5034516114848525,4,complex_disease,indication,AUROC
DSD-min,0.0019013666072489601,4,complex_disease,indication,Recall@100
DSD-min,0.5109526116849138,4,complex_disease,indication,Avg Rank
DSD-min,0.00030303030303030303,4,complex_disease,indication,Precision@100
DSD-min,0.0,4,complex_disease,indication,Precision@10
DSD-min,0.0,4,complex_disease,indication,Precision@K
KL-min,0.5079203961702252,4,complex_disease,indication,AUPRC
KL-min,0.5136651151688746,4,complex_disease,indication,AUROC
KL-min,0.009264471338774744,4,complex_disease,indication,Recall@100
KL-min,0.48970347778128265,4,complex_disease,indication,Avg Rank
KL-min,0.00045454545454545455,4,complex_disease,indication,Precision@100
KL-min,0.0,4,complex_disease,indication,Precision@10
KL-min,0.0,4,complex_disease,indication,Precision@K
JS-min,0.48886774163301844,4,complex_disease,indication,AUPRC
JS-min,0.48646051218271247,4,complex_disease,indication,AUROC
JS-min,0.004407166907166906,4,complex_disease,indication,Recall@100
JS-min,0.5022370095552773,4,complex_disease,indication,Avg Rank
JS-min,0.0006060606060606061,4,complex_disease,indication,Precision@100
JS-min,0.0030303030303030303,4,complex_disease,indication,Precision@10
JS-min,0.0026936026936026933,4,complex_disease,indication,Precision@K
HGT,0.49061464072845684,4,complex_disease,indication,AUPRC
HGT,0.4799969849435619,4,complex_disease,indication,AUROC
HGT,0.0020923520923520926,4,complex_disease,indication,Recall@100
HGT,0.5613759352367785,4,complex_disease,indication,Avg Rank
HGT,0.00030303030303030303,4,complex_disease,indication,Precision@100
HGT,0.0,4,complex_disease,indication,Precision@10
HGT,0.0,4,complex_disease,indication,Precision@K
HAN,0.5881601585180749,4,complex_disease,indication,AUPRC
HAN,0.618199634424407,4,complex_disease,indication,AUROC
HAN,0.1216625514929765,4,complex_disease,indication,Recall@100
HAN,0.5318839678686711,4,complex_disease,indication,Avg Rank
HAN,0.004090909090909091,4,complex_disease,indication,Precision@100
HAN,0.006060606060606061,4,complex_disease,indication,Precision@10
HAN,0.007196969696969697,4,complex_disease,indication,Precision@K
RGCN,0.531333778379202,4,complex_disease,indication,AUPRC
RGCN,0.5926941413684588,4,complex_disease,indication,AUROC
RGCN,0.0967022428322738,4,complex_disease,indication,Recall@100
RGCN,0.7172424790597853,4,complex_disease,indication,Avg Rank
RGCN,0.007424242424242425,4,complex_disease,indication,Precision@100
RGCN,0.0030303030303030303,4,complex_disease,indication,Precision@10
RGCN,0.005345732125917884,4,complex_disease,indication,Precision@K
BioBERT,0.714233137248068,4,complex_disease,indication,AUPRC
BioBERT,0.7398320362309282,4,complex_disease,indication,AUROC
BioBERT,0.04856757163258712,4,complex_disease,indication,Recall@100
BioBERT,0.6574423831783556,4,complex_disease,indication,Avg Rank
BioBERT,0.0053030303030303025,4,complex_disease,indication,Precision@100
BioBERT,0.0030303030303030303,4,complex_disease,indication,Precision@10
BioBERT,0.0025110123794334317,4,complex_disease,indication,Precision@K
TxGNN,0.9278705038642381,4,complex_disease,indication,AUPRC
TxGNN,0.9297209188384495,4,complex_disease,indication,AUROC
TxGNN,0.47307705233753644,4,complex_disease,indication,Recall@100
TxGNN,0.8135288677589627,4,complex_disease,indication,Avg Rank
TxGNN,0.030454545454545456,4,complex_disease,indication,Precision@100
TxGNN,0.10757575757575759,4,complex_disease,indication,Precision@10
TxGNN,0.08995072824934913,4,complex_disease,indication,Precision@K
Proximity,0.4833100413807292,4,complex_disease,indication,AUPRC
Proximity,0.5117492980571731,4,complex_disease,indication,AUROC
Proximity,0.0026936026936026933,4,complex_disease,indication,Recall@100
Proximity,0.5268997034519004,4,complex_disease,indication,Avg Rank
Proximity,0.00030303030303030303,4,complex_disease,indication,Precision@100
Proximity,0.0,4,complex_disease,indication,Precision@10
Proximity,0.0,4,complex_disease,indication,Precision@K
DSD-min,0.5170960404513363,5,complex_disease,indication,AUPRC
DSD-min,0.5039056868565914,5,complex_disease,indication,AUROC
DSD-min,0.008693136345447269,5,complex_disease,indication,Recall@100
DSD-min,0.5349968524276543,5,complex_disease,indication,Avg Rank
DSD-min,0.0014705882352941176,5,complex_disease,indication,Precision@100
DSD-min,0.0014705882352941176,5,complex_disease,indication,Precision@10
DSD-min,0.0018103832442067736,5,complex_disease,indication,Precision@K
KL-min,0.4941488819325642,5,complex_disease,indication,AUPRC
KL-min,0.48107764593735014,5,complex_disease,indication,AUROC
KL-min,0.024696975564419316,5,complex_disease,indication,Recall@100
KL-min,0.5404566683840974,5,complex_disease,indication,Avg Rank
KL-min,0.0011764705882352942,5,complex_disease,indication,Precision@100
KL-min,0.0,5,complex_disease,indication,Precision@10
KL-min,0.0,5,complex_disease,indication,Precision@K
JS-min,0.4932369258060577,5,complex_disease,indication,AUPRC
JS-min,0.4876474378400007,5,complex_disease,indication,AUROC
JS-min,0.005941512968823894,5,complex_disease,indication,Recall@100
JS-min,0.5058867958087891,5,complex_disease,indication,Avg Rank
JS-min,0.0010294117647058824,5,complex_disease,indication,Precision@100
JS-min,0.0014705882352941176,5,complex_disease,indication,Precision@10
JS-min,0.003939075630252101,5,complex_disease,indication,Precision@K
HGT,0.5390306504965545,5,complex_disease,indication,AUPRC
HGT,0.5582410728208327,5,complex_disease,indication,AUROC
HGT,0.054690444359562,5,complex_disease,indication,Recall@100
HGT,0.5195905098392058,5,complex_disease,indication,Avg Rank
HGT,0.0029411764705882353,5,complex_disease,indication,Precision@100
HGT,0.0014705882352941176,5,complex_disease,indication,Precision@10
HGT,0.0,5,complex_disease,indication,Precision@K
HAN,0.590267612910033,5,complex_disease,indication,AUPRC
HAN,0.6274813247854447,5,complex_disease,indication,AUROC
HAN,0.17875293261747227,5,complex_disease,indication,Recall@100
HAN,0.549064702503631,5,complex_disease,indication,Avg Rank
HAN,0.008676470588235296,5,complex_disease,indication,Precision@100
HAN,0.0058823529411764705,5,complex_disease,indication,Precision@10
HAN,0.006809820702474538,5,complex_disease,indication,Precision@K
RGCN,0.5001559580534536,5,complex_disease,indication,AUPRC
RGCN,0.5105637428689955,5,complex_disease,indication,AUROC
RGCN,0.1365068754774637,5,complex_disease,indication,Recall@100
RGCN,0.7235736261261672,5,complex_disease,indication,Avg Rank
RGCN,0.009411764705882354,5,complex_disease,indication,Precision@100
RGCN,0.010294117647058823,5,complex_disease,indication,Precision@10
RGCN,0.008665966386554622,5,complex_disease,indication,Precision@K
BioBERT,0.7466285653676998,5,complex_disease,indication,AUPRC
